job,out_file,err_file,failed,error_type,out_preview,err_preview
planned_T1000_5800809,planned_T1000_5800809.out,planned_T1000_5800809.err,True,NullPointerException,"Running T1000 on lm4-w002 at Thu Feb 19 13:39:12 CET 2026
Game: MacBeth
Variant: Noisy AG0 | MAST | Heuristic | MaxAvgScore
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estimated: cpus=4, mem","MCTS error in game: MacBeth
java.lang.NullPointerException: Cannot invoke ""policies.Policy.computeDistribution(other.context.Context, main.collections.FastArrayList, boolean)"" because the return value"
planned_T1001_5800810,planned_T1001_5800810.out,planned_T1001_5800810.err,True,NullPointerException,"Running T1001 on lm4-w002 at Thu Feb 19 13:39:12 CET 2026
Game: Welschschach
Variant: Noisy AG0 | NST | Implicit Minimax | Proportional Exp
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estima","MCTS error in game: Welschschach
java.lang.NullPointerException: Cannot invoke ""policies.Policy.computeDistribution(other.context.Context, main.collections.FastArrayList, boolean)"" because the return "
planned_T1002_5800811,planned_T1002_5800811.out,planned_T1002_5800811.err,False,,"Running T1002 on lm4-w008 at Thu Feb 19 13:39:12 CET 2026
Game: Gasetavl
Variant: McGRAVE | Random | AlphaGo | Robust
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estimated: cpus=4, mem=7G, t",
planned_T1003_5800812,planned_T1003_5800812.out,planned_T1003_5800812.err,True,NullPointerException,"Running T1003 on lm4-w008 at Thu Feb 19 13:39:12 CET 2026
Game: Adhesion
Variant: Progressive Bias | MAST | MonteCarlo | MaxAvgScore
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estimated: cp","MCTS error in game: Adhesion
java.lang.NullPointerException: Cannot invoke ""metadata.ai.heuristics.Heuristics.computeValue(other.context.Context, int, float)"" because ""heuristics"" is null
	at utils.AI"
planned_T1004_5800813,planned_T1004_5800813.out,planned_T1004_5800813.err,False,,"Running T1004 on lm4-w008 at Thu Feb 19 12:55:05 CET 2026
Game: Sher Bakar
Variant: UCB1 tuned | NST | Score Bounded | Proportional Exp
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estimated:",
planned_T1005_5800814,planned_T1005_5800814.out,planned_T1005_5800814.err,False,,"Running T1005 on lm4-w022 at Thu Feb 19 12:55:05 CET 2026
Game: Seesaw
Variant: Alpha-Beta | MAST | Implicit Minimax | MaxAvgScore
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estimated: cpus",
planned_T1006_5800815,planned_T1006_5800815.out,planned_T1006_5800815.err,True,NullPointerException,"Running T1006 on lm4-w008 at Thu Feb 19 13:39:12 CET 2026
Game: Quick Chess
Variant: ExIt | Random | Score Bounded | Robust
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estimated: cpus=4, mem","MCTS error in game: Quick Chess
java.lang.NullPointerException: Cannot invoke ""policies.Policy.computeDistribution(other.context.Context, main.collections.FastArrayList, boolean)"" because the return v"
planned_T1007_5800816,planned_T1007_5800816.out,planned_T1007_5800816.err,False,,"Running T1007 on lm4-w008 at Thu Feb 19 13:39:12 CET 2026
Game: Quantik
Variant: UCB1 GRAVE | MAST | Score Bounded | MaxAvgScore
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estimated: cpus=4",
planned_T1008_5800817,planned_T1008_5800817.out,planned_T1008_5800817.err,True,NullPointerException,"Running T1008 on lm4-w019 at Thu Feb 19 13:39:42 CET 2026
Game: Pasang
Variant: UCB1 GRAVE | NST | Qualitative | Proportional Exp
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estimated: cpus=","MCTS error in game: Pasang
java.lang.NullPointerException: Cannot invoke ""metadata.ai.heuristics.Heuristics.computeValue(other.context.Context, int, float)"" because ""heuristics"" is null
	at utils.AIUt"
planned_T1009_5800818,planned_T1009_5800818.out,planned_T1009_5800818.err,True,NullPointerException,"Running T1009 on lm4-w027 at Thu Feb 19 13:39:42 CET 2026
Game: La Liebre Perseguida
Variant: AG0 | Random | MonteCarlo | Robust
Meta: moveTime=0.2, gamesPerMatchup=10, maxMoves=1000
Estimated: cpus=4","MCTS error in game: La Liebre Perseguida
java.lang.NullPointerException: Cannot invoke ""policies.Policy.computeDistribution(other.context.Context, main.collections.FastArrayList, boolean)"" because the"
